registration_name,registration_start_date_full,registration_start_time,registration_end_date_full,registration_end_time,signup_start_days_before,signup_end_days_before,max_reservations,min_reservations,access_group_id,location_id,other_location,registration_description,allow_cancel_days,other_site_url,course_number,custom_field_value_1,custom_field_value_2,custom_field_value_3,custom_field_value_4,custom_field_value_5,custom_field_value_6,custom_field_value_7,custom_field_value_8,custom_field_value_9,custom_field_value_10
Supply Loading,2017-09-20,01:00 PM,2017-09-20,03:00 PM,60,0,7,,,,,"<p>This shift is for those who enjoy physical tasks. Volunteers must be able to lift 40lbs. Wear comfortable clothing, closed toed shoes and gloves will be provided if needed. </p> <p><strong>Job Duties</strong> - Loading heavy cat towers into trucks - Loading event supplies into trucks</p> <p>This shift is for volunteers 18 years and older. </p>",,,,,,,,,,,,,
Supply Loading (Copy),2017-09-20,01:00 PM,2017-09-20,03:00 PM,60,0,7,,,,,"<p>This shift is for those who enjoy physical tasks. Volunteers must be able to lift 40lbs. Wear comfortable clothing, closed toed shoes and gloves will be provided if needed. </p> <p><strong>Job Duties</strong> - Loading heavy cat towers into trucks - Loading event supplies into trucks</p> <p>This shift is for volunteers 18 years and older. </p>",,,,,,,,,,,,,
Supply Loading (Copy),2017-09-20,01:00 PM,2017-09-20,03:00 PM,60,0,7,,,,,"<p>This shift is for those who enjoy physical tasks. Volunteers must be able to lift 40lbs. Wear comfortable clothing, closed toed shoes and gloves will be provided if needed. </p> <p><strong>Job Duties</strong> - Loading heavy cat towers into trucks - Loading event supplies into trucks</p> <p>This shift is for volunteers 18 years and older. </p>",,,,,,,,,,,,,
Supply Loading (Copy),2017-09-20,01:00 PM,2017-09-20,03:00 PM,60,0,7,,,,,"<p>This shift is for those who enjoy physical tasks. Volunteers must be able to lift 40lbs. Wear comfortable clothing, closed toed shoes and gloves will be provided if needed. </p> <p><strong>Job Duties</strong> - Loading heavy cat towers into trucks - Loading event supplies into trucks</p> <p>This shift is for volunteers 18 years and older. </p>",,,,,,,,,,,,,
Supply Loading (Copy),2017-09-20,01:00 PM,2017-09-20,03:00 PM,60,0,7,,,,,"<p>This shift is for those who enjoy physical tasks. Volunteers must be able to lift 40lbs. Wear comfortable clothing, closed toed shoes and gloves will be provided if needed. </p> <p><strong>Job Duties</strong> - Loading heavy cat towers into trucks - Loading event supplies into trucks</p> <p>This shift is for volunteers 18 years and older. </p>",,,,,,,,,,,,,
Cat Area Captain (set-up),2017-09-21,09:00 AM,2017-09-21,02:00 PM,60,0,1,,,,,<p>Oversee the set up of the cat building. Help coordinate volunteers in the cat building and delegate tasks as necessary. (Note cats arrive at 2)</p>,,,,,,,,,,,,,
Setup Captain,2017-09-21,09:00 AM,2017-09-21,01:00 PM,60,0,1,,,,,"<p>Oversee the set up in animal care areas, including inside and outside. Delegate tasks as necessary. </p>",,,,,,,,,,,,,
General Setup ,2017-09-21,09:00 AM,2017-09-21,01:00 PM,60,0,35,,,,,"<p>This is one of the most important shifts because your work makes this event come to life! The work is physical, and you can expect to be on your feet and moving throughout the shift. You must be comfortable lifting and carrying items up to 40 lbs, though this activity will not be the majority of the shift. Please dress for the weather, wear comfortable clothing and closed-toed shoes, and bring your team player attitude.  </p> <p><strong>This shift is available for volunteers 18 years of age and older.</strong> Please arrive 10 minutes before your shift starts to allow time to get to your assigned location. </p> <p><strong>Job Duties</strong><br/>- Sign in before your shift starts at the Volunteer Building, where you will receive any additional information you may need before your shift begins.<br/>- Report to staff and the Setup Captain for task assignments<br/>- Move chairs and tables to their designated areas<br/>- Set up cat towers<br/>- Set up outdoor dog areas with a bed, full water pail, potty bags, and hand sanitizer<br/>- Set up cat building with cat towers fully put together, water bowls filled, and litter boxes placed and filled<br/>- Set up indoor dog building with a bed, pine shavings on the floor, full water pail, potty bags, and hand sanitizer<br/>- Place signage in all animal care areas  </p> <p><strong> For all your hard work a vegetarian/vegan lunch, beverages, and snacks will be provided. </strong></p>",,,,,,,,,,,,,
Cat Area Captain (setup),2017-09-21,09:00 AM,2017-09-21,02:00 PM,60,0,1,,,,,"<p>""Help groups unload their cats and get them set up in towers. Make sure cat areas are neat and organized. Volunteers in this shift should be able to lift at least 30 lbs and be prepared to stand for the duration of the shift. Bending, stooping and lifting may be required. After you check in at the volunteer area you will report to the Cat Area Captain for instruction.</p> <p>All animal care shifts during our events, including this one, are open only to volunteers ages 18 and up.""</p>",,,,,,,,,,,,,
Setup Captain (Copy),2017-09-21,09:00 AM,2017-09-21,01:00 PM,60,0,1,,,,,"<p>Oversee the set up in animal care areas, including inside and outside. Delegate tasks as necessary. </p>",,,,,,,,,,,,,
